,Rank,Anime,Anime Type,Episodes,Start Air Date,End Air Date,Members,Score
0,1,Fullmetal Alchemist: Brotherhood,TV,64,Apr 2009 , Jul 2010,3097224,9.11
1,2,Bleach: Sennen Kessen-hen,TV,13,Oct 2022 , Dec 2022,395299,9.1
2,3,Steins;Gate,TV,24,Apr 2011 , Sep 2011,2385156,9.08
3,4,Gintama°,TV,51,Apr 2015 , Mar 2016,579580,9.07
4,5,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,Apr 2022 , Jun 2022,762610,9.07
5,6,Shingeki no Kyojin Season 3 Part 2,TV,10,Apr 2019 , Jul 2019,2031320,9.06
6,7,Gintama: The Final,Movie,1,Jan 2021 , Jan 2021,125106,9.05
7,8,Gintama',TV,51,Apr 2011 , Mar 2012,511115,9.04
8,9,Hunter x Hunter (2011),TV,148,Oct 2011 , Sep 2014,2584178,9.04
9,10,Gintama': Enchousen,TV,13,Oct 2012 , Mar 2013,301903,9.03
10,11,Ginga Eiyuu Densetsu,OVA,110,Jan 1988 , Mar 1997,298833,9.02
11,12,Fruits Basket: The Final,TV,13,Apr 2021 , Jun 2021,409460,9.01
12,13,Gintama.,TV,12,Jan 2017 , Mar 2017,290080,8.99
13,14,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1,Dec 2022 , Dec 2022,95423,8.97
14,15,3-gatsu no Lion 2nd Season,TV,22,Oct 2017 , Mar 2018,375018,8.94
15,16,Clannad: After Story,TV,24,Oct 2008 , Mar 2009,1130920,8.94
16,17,Gintama,TV,201,Apr 2006 , Mar 2010,1003662,8.94
17,18,Koe no Katachi,Movie,1,Sep 2016 , Sep 2016,2132754,8.94
18,19,Bocchi the Rock!,TV,12,Oct 2022 , Dec 2022,335002,8.92
19,20,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Jul 2013 , Jul 2013,224170,8.92
20,21,Code Geass: Hangyaku no Lelouch R2,TV,25,Apr 2008 , Sep 2008,1664370,8.91
21,22,Violet Evergarden Movie,Movie,1,Sep 2020 , Sep 2020,519757,8.91
22,23,Owarimonogatari 2nd Season,TV,7,Aug 2017 , Aug 2017,371897,8.89
23,24,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,Jul 2018 , Oct 2018,179925,8.88
24,25,Monster,TV,74,Apr 2004 , Sep 2005,965702,8.86
25,26,Kimi no Na wa.,Movie,1,Aug 2016 , Aug 2016,2530190,8.85
26,27,Kimetsu no Yaiba: Yuukaku-hen,TV,11,Dec 2021 , Feb 2022,1146138,8.82
27,28,Gintama.: Shirogane no Tamashii-hen,TV,12,Jan 2018 , Mar 2018,194310,8.81
28,29,Kingdom 3rd Season,TV,26,Apr 2020 , Oct 2021,86576,8.81
29,30,Shingeki no Kyojin: The Final Season,TV,16,Dec 2020 , Mar 2021,1779087,8.81
30,31,Mob Psycho 100 II,TV,13,Jan 2019 , Apr 2019,1388408,8.8
31,32,Part1,Movie,1,Jan 2017 , Jan 2017,430444,8.79
32,33,Sen to Chihiro no Kamikakushi,Movie,1,Jul 2001 , Jul 2001,1718922,8.78
33,34,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,Oct 2016 , Dec 2016,1114992,8.78
34,35,Monogatari Series: Second Season,TV,26,Jul 2013 , Dec 2013,637706,8.77
35,36,Shingeki no Kyojin: The Final Season Part 2,TV,12,Jan 2022 , Apr 2022,1062356,8.77
36,37,Shiguang Dailiren,ONA,11,Apr 2021 , Jul 2021,276266,8.75
37,38,Cowboy Bebop,TV,26,Apr 1998 , Apr 1999,1730225,8.75
38,39,Hajime no Ippo,TV,75,Oct 2000 , Mar 2002,527868,8.75
39,40,Kingdom 4th Season,TV,26,Apr 2022 , Oct 2022,49604,8.75
40,41,Mob Psycho 100 III,TV,12,Oct 2022 , Dec 2022,512876,8.74
41,42,Mushishi Zoku Shou 2nd Season,TV,10,Oct 2014 , Dec 2014,249817,8.73
42,43,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Jan 2017 , Mar 2017,177646,8.73
43,44,Vinland Saga,TV,24,Jul 2019 , Dec 2019,1282746,8.73
44,45,Vinland Saga Season 2,TV,24,Jan 2023 ,,326212,8.73
45,46,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,Oct 2021 , Dec 2021,737473,8.71
46,47,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Feb 1999 , Sep 1999,265623,8.71
47,48,86 Part 2,TV,12,Oct 2021 , Mar 2022,401811,8.71
48,49,Ashita no Joe 2,TV,47,Oct 1980 , Aug 1981,46198,8.71
49,50,Code Geass: Hangyaku no Lelouch,TV,25,Oct 2006 , Jul 2007,2109680,8.7
50,51,Mushishi Zoku Shou,TV,10,Apr 2014 , Jun 2014,283233,8.7
51,52,Odd Taxi,TV,13,Apr 2021 , Jun 2021,369795,8.7
52,53,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,Aug 2020 , Aug 2020,310529,8.69
53,54,Great Teacher Onizuka,TV,43,Jun 1999 , Sep 2000,771879,8.69
54,55,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,14,Dec 2022 , Dec 2022,118357,8.69
